title,year,runtime,votes,rating,genre
Ward 126,2022,117,589,4.8,Drama
Warriors of Future,2022,112,7766,5.6,Action
Washington's Armor,2022,98,138,5.6,Action
"Watch Out, We're Mad",2022,90,1164,3.3,Action
Watcher,2022,96,53936,6.3,Drama
Water Gate Bridge,2022,153,1569,5.6,Action
Watergate: High Crimes in the White House,2022,120,120,6.9,Documentary
Wayward,2022,78,269,4.7,Thriller
We Are Next of Kin,2022,118,217,6.4,Biography
We Are Not Alone,2022,91,575,6.1,Comedy
We Are Still Here,2022,90,213,6,Drama
We Feed People,2022,89,604,7.4,Documentary
We Have to Leave Here Together,2022,60,120,7.8,Drama
We Met in Virtual Reality,2022,91,619,6,Documentary
We Might As Well Be Dead,2022,94,395,6,Drama
We Need to Talk,2022,83,164,4.5,Comedy
We Won't Kill Each Other with Guns,2022,85,107,4.9,Comedy
Wedding Gift,2022,139,1534,8.6,Drama
Wedding High,2022,118,158,6.3,Comedy
Wedding Season,2022,98,11731,6.3,Comedy
"Weddings, Christenings and Funerals",2022,121,2151,6.8,Comedy
Weird: The Al Yankovic Story,2022,108,44126,6.9,Action
Welcome to Tihar College,2022,108,118,4.7,Action
Wendell & Wild,2022,105,13864,6.4,Adventure
Werewolf Cabal,2022,109,414,2.7,Comedy
Werner Herzog: Radical Dreamer,2022,102,784,7,Biography
What Comes Around,2022,85,1962,5.3,Drama
What Is a Woman?,2022,95,46194,8.1,Documentary
What Lucia Saw,2022,107,176,5.7,Drama
What Remains,2022,102,319,4.8,Drama
What Remains,2022,126,381,5.1,Crime
What We Do Next,2022,77,122,6.6,Crime
What We Leave Behind,2022,71,179,6.7,Documentary
What You Can See from here,2022,103,625,6.8,Comedy
What a Wonderful World,2022,90,305,5.5,Comedy
What the Waters Left Behind: Scars,2022,85,279,4.1,Horror
What to Do with the Dead Kaiju?,2022,115,320,4.4,Comedy
What's Love Got to Do with It?,2022,108,11325,6.3,Comedy
Wheel Chair Romeo,2022,147,1469,8,Comedy
When Darkness Falls,2022,105,917,4,Crime
When Time Got Louder,2022,88,543,6.7,Drama
When You Finish Saving the World,2022,88,5266,5.6,Comedy
When the Mist Clears,2022,102,639,3.4,Drama
When the Rain Falls,2022,84,136,5.9,Drama
Where Butterflies Don't Fly,2022,126,315,6.7,Adventure
Where Life Begins,2022,99,264,6.1,Drama
Where We Live,2022,90,158,6.3,Drama
Where the Crawdads Sing,2022,125,143515,7.2,Drama
"Where the Devil Can't Go, He Sends a Woman",2022,106,3358,4.7,Comedy
Where the Scary Things Are,2022,93,720,3.1,Horror
Where the Wind Blows,2022,144,692,5.9,Crime
While We Watched,2022,94,2619,8.5,Biography
Whina,2022,112,288,7.2,Biography
Whisper,2022,120,116,3.7,Horror
Whisper of the Heart,2022,114,186,5.6,Drama
White Dog,2022,96,244,6,Drama
White Elephant,2022,92,5311,4.5,Action
White Hot: The Rise & Fall of Abercrombie & Fitch,2022,88,5399,5.8,Documentary
White Noise,2022,136,46048,5.7,Comedy
White Paradise,2022,93,657,5.8,Action
Whitney Houston: I Wanna Dance with Somebody,2022,144,25215,6.6,Biography
Who Done It: The Clue Documentary,2022,108,341,6,Documentary
Who Invited Charlie?,2022,101,669,5.4,Comedy
Who Invited Them,2022,81,3841,5.5,Comedy
Who Kidnapped My Mom?,2022,90,151,5,Drama
Who's There?,2022,74,257,5.9,Thriller
Who's a Good Boy?,2022,95,789,4.7,Comedy
Why I Killed Gandhi,2022,45,235,7.7,Documentary
Why? Endhuku?,2022,113,146,8.7,Thriller
Wickensburg,2022,86,174,4.1,Adventure
Wifelike,2022,105,5682,4.9,Crime
Wild,2022,107,114,4.8,Adventure
Wild Beauty: Mustang Spirit of the West,2022,99,113,7.8,Documentary
Wild Flowers,2022,107,624,6.3,Drama
Wild Is the Wind,2022,123,1731,5.6,Crime
Wild Seas,2022,93,455,5.7,Drama
Wildcat,2022,106,3443,7.7,Documentary
Wilderness Therapy,2022,95,215,5,Comedy
Wildflower,2022,105,4587,6.8,Comedy
Will-o'-the-Wisp,2022,67,1156,6,Comedy
"Willaq Pirqa, el cine de mi pueblo",2022,89,151,8.3,Comedy
Win a Trip to Browntown!,2022,94,232,3.8,Comedy
Windfall,2022,92,27384,5.7,Crime
Wings Over Berlin,2022,100,338,5.7,Action
Winners,2022,85,102,7.4,Drama
Winter Boy,2022,122,1895,6.8,Drama
Wire Room,2022,96,1790,3.7,Action
Witch Trilogy 15+,2022,71,264,6.8,Documentary
Without Her,2022,110,728,5.7,Drama
Without Ward,2022,103,222,3.8,Drama
Witness,2022,123,343,6.9,Drama
Witness the Fitness,2022,94,726,5.6,Comedy
Wog Boys Forever,2022,109,601,5.2,Comedy
Wolf - Wanderer Without Borders,2022,90,169,7.3,Documentary
Wolf Hound,2022,130,1282,3.7,Action
Wolf Mountain,2022,94,362,2.7,Horror
Wolf Pack,2022,105,172,4.8,Action
Wolf and Dog,2022,111,398,6.1,Drama
Wolfberries,2022,94,127,4.3,Drama
Wolfkin,2022,90,575,5.5,Drama
Wolke unterm Dach,2022,112,207,5.8,Comedy
Wolves,2022,103,202,5.2,Crime
Wolves of War,2022,87,713,3.9,Action
Woman on the Roof,2022,96,335,6.4,Drama
Women Talking,2022,104,45300,6.9,Drama
Won't You Cry?,2022,87,248,5.2,Drama
Wonderfully Beautiful,2022,132,3079,7,Comedy
Working Class Heroes,2022,85,282,6.2,Drama
World War III,2022,117,3737,7.1,Adventure
Wrath of Van Helsing,2022,85,275,2.6,Horror
Wrong Place,2022,96,5423,3.5,Action
Wrong Reasons,2022,95,111,6.7,Comedy
Wuthering Heights,2022,150,216,3.9,Drama
X,2022,105,203423,6.5,Horror
X = Prem,2022,116,569,6.7,Drama
X-Deal 2,2022,110,370,4.1,Drama
Xanadu Hellfire,2022,105,162,4.3,Action
XxxHolic,2022,120,244,5,Adventure
YA na peremotke!,2022,89,223,6,Comedy
Yaanai,2022,154,3690,6.1,Action
Yaar Mera Titliaan Warga,2022,110,457,5.8,Comedy
Yaaro,2022,103,1211,3.7,Horror
Yaksha: Ruthless Operations,2022,125,4898,6.3,Action
Yama Onna,2022,100,100,6.6,Fantasy
Yashoda,2022,135,12172,6.5,Action
Year One: A Political Odyssey,2022,85,354,5.3,Documentary
Year of the Shark,2022,87,873,4.6,Comedy
Yemaipothaney,2022,123,3251,7.8,Drama
Yenni Thuniga,2022,144,823,5.9,Action
"Yes, I Can't Swim",2022,120,108,5.8,Drama
Yi Chang hen (Mei) You Bi Yao De Chun Wan,2022,106,172,6.6,Comedy
Yolki 9,2022,94,296,3.5,Comedy
Yolki-igolki,2022,90,1085,6.3,Comedy
York Witches Society,2022,88,292,3.9,Horror
"You Can Do It, My Dear!",2022,129,637,8.2,Documentary
You Can Live Forever,2022,96,3453,6.8,Drama
You Can Never Go Home Again,2022,90,179,4.5,Drama
You Have to Come and See It,2022,64,654,5.8,Comedy
You Will Not Have My Hate,2022,102,426,6.2,Drama
You Won't Be Alone,2022,108,12456,6.4,Drama
Young Man,2022,110,841,6.5,Comedy
Your Christmas or Mine?,2022,95,10976,6.4,Comedy
Yudo: The Way of the Bath,2022,126,295,6.7,Comedy
Yugi,2022,131,733,6.7,Drama
Yuku and the Flower of the Himalayas,2022,62,144,6.8,Adventure
Yutha Satham,2022,127,137,3.7,Action
Zadra,2022,88,106,4.9,Drama
Zanox,2022,89,1770,7.2,Comedy
Zarrar,2022,148,307,5.4,Action
Zebun,2022,95,150,3.2,Horror
Zero Contact,2022,97,2770,4.2,Thriller
Zhalt oleandar,2022,90,652,6.4,Comedy
Zhao Zilong God of Spear,2022,78,167,7.1,Action
Zillion,2022,138,3800,7.3,Biography
Zlatni decko,2022,102,1182,6.2,Sport
Zolza,2022,96,176,4.1,Comedy
Zombie,2022,97,201,3.3,Comedy
Zombies 3,2022,88,3919,5.4,Drama
Zombivli,2022,134,1634,6.7,Comedy
Zomblogalypse,2022,102,266,3,Comedy
Zorillo's Secret,2022,90,338,4.6,Comedy
Zwanger & co,2022,113,498,5.7,Comedy
Zwigato,2022,105,10304,6.7,Drama
a-ha: True North,2022,72,109,7.3,Documentary
iMordecai,2022,102,196,5.7,Comedy
¡Qué despadre!,2022,99,252,6.5,Comedy
¡Viva Maestro!,2022,99,143,7.3,Documentary
Águila y Jaguar: Los Guerreros Legendarios,2022,106,466,6.5,Animation
#Manhole,2023,99,734,5.7,Drama
#MayaLo,2023,120,100,7.2,Comedy
#Mentoo,2023,113,241,5.2,Comedy
#Mute,2023,109,100,8.4,Thriller
#NOVA,2023,52,1891,7.6,Documentary
#annaismissing,2023,110,196,7.1,Drama
(Ab)Normal Desire,2023,134,266,6.3,Drama
10 Days of a Bad Man,2023,123,3164,6.1,Crime
10 Days of a Good Man,2023,124,6029,6.5,Crime
10 Rupees,2023,117,604,7.9,Action
100 Yards,2023,108,299,5.7,Action
1000% Me: Growing Up Mixed,2023,60,207,7.3,Documentary
12 Desperate Hours,2023,88,275,4.9,Thriller
12.12: The Day,2023,141,3969,7.6,Action
129,2023,86,222,3.1,Action
12th Fail,2023,147,142867,8.8,Biography
13 Bombs,2023,143,1692,6.6,Action
13 Sherwood Avenue,2023,70,130,4.4,Horror
14 Again: I Love You Two Thousand,2023,114,140,5.9,Comedy
14+: Continued,2023,133,204,3.2,Drama
1489,2023,76,115,6.9,Documentary
15 Cameras,2023,89,1232,5.4,Horror
15 Jahre,2023,144,148,6.3,Drama
172 Days,2023,103,595,6.8,Biography
18+,2023,122,1189,6.3,Comedy
1888,2023,115,385,8.5,Crime
19.20.21,2023,131,109,9.3,Drama
1915: Legend of the Gurkhas,2023,72,840,5.1,Drama
1920: Horrors of the Heart,2023,122,4275,2.8,Drama
1922 Pratikaar Chauri Chaura,2023,111,526,8.6,History
1962 Halloween Massacre,2023,80,139,2.2,Drama
1984,2023,132,101,5.9,Drama
1988,2023,80,746,8.1,History
1993,2023,148,264,6.2,Drama
20 Days in Mariupol,2023,95,24763,8.5,Documentary
20 Minutes,2023,93,623,8.6,Thriller
"20,000 Species of Bees",2023,128,4248,7,Drama
200 Pounds Beauty,2023,95,121,5.5,Comedy
2018,2023,150,13967,8.3,Action
21 Rubies,2023,150,230,6.4,Drama
24 Hours with Gaspar,2023,98,503,4.8,Action
27 Storeys,2023,82,102,7.2,Documentary
3 Days,2023,125,158,8.4,Crime
3 Days in Malay,2023,99,481,2.6,Action
3 Ekka,2023,146,681,6.6,Comedy
3211,2023,70,250,4.1,Biography
38°5 quai des Orfèvres,2023,84,256,4,Comedy
4 Kings 2,2023,139,773,6.7,Action
49,2023,122,897,5.5,Action
5 Hectares,2023,94,133,4.7,Comedy
500 Days in the Wild,2023,124,220,6.5,Documentary
500 Días de Escobar: la vertiginosa caída del capo,2023,98,150,5.7,Crime
57 Seconds,2023,99,10951,5.4,Sci-Fi
5G: The Reckoning,2023,81,106,3.1,Horror
65,2023,93,98485,5.4,Action
"658km, Yôko no tabi",2023,113,209,6.6,Drama
791 km,2023,103,189,5.9,Comedy
7:11 PM,2023,142,7511,5.6,Action
8,2023,75,248,8.8,Drama
8 A.M. Metro,2023,116,1630,7.6,Drama
80 for Brady,2023,98,12998,5.9,Comedy
800,2023,158,4315,7.1,Biography
80s Buildup,2023,122,383,3.6,Comedy
90 Bidi Manig Nadi,2023,115,551,9.2,Comedy
97 Minutes,2023,93,9119,3.8,Thriller
A Beautiful Life,2023,98,8724,6.4,Drama
A Brighter Tomorrow,2023,95,3665,6.7,Comedy
A Cat's Life,2023,83,461,6.1,Adventure
A Chance to Win,2023,97,188,5.6,Comedy
A Christmas Frequency,2023,90,324,5.4,Romance
A Christmas Vintage,2023,87,382,5.5,Comedy
A Creature Was Stirring,2023,96,1307,4.6,Horror
A Date with Deception,2023,84,151,4.7,Thriller
A Day and a Half,2023,94,3367,5.8,Action
A Deadly Invitation,2023,92,2245,5.1,Comedy
A Difficult Year,2023,120,2823,6,Comedy
A Disturbance in the Force,2023,85,760,6.8,Documentary
A Dream House,2023,83,179,3,Horror
A French Summer,2023,81,183,5.2,Comedy
A Good Man,2023,96,141,6.2,Thriller
A Good Person,2023,128,26142,7.1,Drama
A Great Divide,2023,100,100,6.2,Drama
A Great Friend,2023,95,1010,6.5,Comedy
A Greyhound of a Girl,2023,85,181,6.6,Animation
A Guilty Conscience,2023,135,2086,7.2,Comedy
A Happy Day,2023,113,103,7,Comedy
A Haunting in Venice,2023,103,128671,6.5,Crime
A Hero of Our Time,2023,120,132,6.4,Comedy
A Home for the Holidays,2023,93,211,5.2,Drama
A House in Jerusalem,2023,103,187,6.7,Drama
A Hundred Sundays,2023,94,908,6.8,Drama
A Journey in Spring,2023,90,100,6.8,Drama
A Journey to Kasi,2023,127,2072,6.9,Drama
A Killer Romance,2023,96,111,6.4,Thriller
A Kind of Kidnapping,2023,83,138,6.7,Comedy
A Law for Christmas,2023,141,470,1.1,Romance
A Life Too Short: The Isabella Nardoni Case,2023,104,1739,6.1,Crime
A Lifeguard's Obsession,2023,88,183,3.7,Thriller
A Little Prayer,2023,91,200,7.1,Drama
A Little White Lie,2023,101,2689,5.8,Comedy
A Long Shot,2023,117,155,7.1,Crime
A Long Way to Come Home,2023,109,474,6.6,Drama
A Love Story from the Streets,2023,105,151,4.8,Drama
A Maiden's Tale,2023,59,259,9.5,Drama
A Million Days,2023,83,551,4.2,Sci-Fi
A Million Miles Away,2023,121,24133,7.3,Biography
A Moroccan Affair,2023,97,1138,4.9,Comedy
A Neighbor's Vendetta,2023,89,308,5.2,Thriller
A New Breed of Criminal,2023,88,780,3.1,Crime
A Normal Family,2023,116,465,7.2,Drama
A Perfect Christmas Pairing,2023,89,307,5.3,Romance
A Place to Fight For,2023,103,695,6.1,Drama
A Prince,2023,82,340,5.6,Drama
A Ranjith Cinema,2023,149,2666,5,Thriller
A Ravaging Wind,2023,95,142,6.7,Drama
A Real Job,2023,100,1784,6.6,Comedy
A Revolution on Canvas,2023,95,118,7.3,Documentary
A Road to a Village,2023,106,467,7.3,Drama
A Rose for Her Grave: The Randy Roth Story,2023,88,554,6,Drama
A Royal Recipe for Love,2023,89,322,6.1,Romance
A Samurai in Time,2023,131,204,7.6,Comedy
A Savage Christmas,2023,90,223,6,Comedy
A Silence,2023,99,535,5.8,Drama
A Snowy Day in Oakland,2023,92,288,5,Comedy
A Southern Haunting,2023,94,402,3.6,Horror
A Spoiling Rain,2023,137,188,7,Drama
A Stellar Adventure,2023,87,346,8.9,Animation
A Still Small Voice,2023,93,147,6.7,Documentary
A Stork's Journey 2,2023,84,372,5.1,Adventure
A Storm Foretold,2023,101,738,7.6,Biography
A Strange Path,2023,83,278,6.8,Drama
A Sunday Affair,2023,96,256,4.5,Romance
A Thousand and One,2023,117,7894,7,Crime
A Tiger in Paradise,2023,78,265,6.4,Biography
A Tourist's Guide to Love,2023,94,7790,5.8,Adventure
A Tribe Called Judah,2023,134,553,5.9,Comedy
A Vampire in the Family,2023,89,1457,4.7,Comedy
A Very Good Girl,2023,117,673,5.7,Comedy
A Weekend to Forget,2023,97,158,3.6,Drama
A Whole Life,2023,115,1026,7,Drama
A Wonderful Girl,2023,91,312,5.9,Comedy
A helység kalapácsa,2023,55,1005,3.7,Comedy
AIMEE: The Visitor,2023,69,319,4.8,Horror
AKA,2023,122,14082,6.6,Action
AKA Mr. Chow,2023,90,304,6.8,Documentary
Aachar & Co,2023,105,1026,7.8,Comedy
Aade Nam God,2023,133,192,8.1,Comedy
Aadikeshava,2023,125,628,4.2,Action
Aagantuk,2023,103,128,5,Comedy
Aankh Micholi,2023,144,1329,5.9,Comedy
Aaro Ek Prithibi,2023,122,133,6.3,Drama
Aatmapamphlet,2023,90,725,8,Comedy
Aattam,2023,139,4585,8.2,Drama
Aazam,2023,120,798,6.1,Crime
Ab Dilli Dur Nahin,2023,150,254,3.5,Drama
Abang Adik,2023,115,1778,7.2,Crime
Abar Bibaho Obhijaan,2023,119,474,2.6,Comedy
Abbé Pierre: A Century of Devotion,2023,137,656,6.5,Biography
Abhilasha,2023,133,1198,7.2,Action
Abhiramachandra,2023,112,238,8.7,Comedy
Abhyuham,2023,103,156,7.4,Crime
Abo Nasab,2023,110,745,5.4,Comedy
Abomination,2023,89,294,2.9,Comedy
About My Father,2023,90,15285,5.8,Comedy
About Thirty,2023,92,287,6.8,Comedy
About him & her,2023,97,322,5.7,Romance
Abruptio,2023,94,312,6.4,Animation
Accidental Texan,2023,104,747,5.9,Comedy
Accidental Truth: UFO Revelations,2023,89,681,6.1,Documentary
Accused,2023,88,3419,6.3,Thriller
Achanoru Vazha Vechu,2023,127,194,3,Drama
Acid,2023,99,2563,5.1,Drama
Across the Furious Sea,2023,144,1143,6.7,Crime
Adagio,2023,127,2883,6.6,Action
Adai Mazhai Kaalam,2023,145,254,6.9,Drama
Adalet,2023,87,243,3.2,Action
Adalynn,2023,88,170,4,Drama
Adavi Donga,2023,119,1032,5.9,Action
Adi,2023,131,783,5.4,Comedy
Adios Buenos Aires,2023,90,209,6.6,Comedy
Adipurush,2023,179,135187,2.7,Action
Adiyae,2023,139,1341,6.3,Comedy
Ado Deyyam Katha,2023,125,1037,6.7,Comedy
Adrenaline,2023,75,402,2.7,Action
Adrishya Jalakangal,2023,128,644,4.8,Drama
Adventures of the Naked Umbrella,2023,97,247,5,Action
Afam,2023,117,160,3.9,Comedy
Afire,2023,102,9603,7.1,Comedy
Afloat,2023,115,138,5.4,Drama
After,2023,69,118,5.6,Drama
After Death,2023,108,1848,6.3,Documentary
After Everything,2023,93,9817,4.7,Drama
After Leaving,2023,90,113,4.3,Drama
After School,2023,118,101,6.5,Comedy
After Sundown,2023,106,344,5.8,Horror
After Work,2023,81,467,6.9,Documentary
After the Bite,2023,88,466,6.1,Documentary
After the Fire,2023,98,225,4.9,Crime
Afwaah,2023,126,3989,5.7,Drama
Against All Enemies,2023,106,397,7.3,Crime
Against the Tide,2023,97,179,6.9,Documentary
Aged,2023,90,326,3.7,Drama
Agent,2023,156,1649,4,Action
Agent Zero,2023,120,377,5,Comedy
Agent of Death,2023,100,234,4.6,Action
Aggrasena,2023,121,1056,8,Drama
Aggro Dr1ft,2023,80,946,5.6,Action
Aghori,2023,122,111,8.1,Drama
Agilan,2023,133,828,4.3,Action
Agra,2023,132,1120,5.7,Drama
Ahasss,2023,107,416,4.7,Drama
Aikatsu! 10th Story: Starway to the Future,2023,72,481,9.1,Animation
Air,2023,111,181118,7.4,Drama
Air,2023,151,417,5.3,Drama
Air Mata Di Ujung Sajadah,2023,105,1685,6.9,Drama
Ajab Tamasha,2023,122,1506,7,Comedy
Ajmer 92,2023,141,1332,7.8,Crime
Akasham Kadann,2023,136,153,9.5,Drama
Akelli,2023,127,6190,6.1,Action
Ako si Ninoy,2023,120,244,3.4,Action
Ala Ila Ela,2023,141,1224,8.1,Action
Ala Ninnu Cheri,2023,158,3554,6.6,Action
Alarmed,2023,86,160,4.7,Thriller
Albert Brooks: Defending My Life,2023,88,1629,7.4,Biography
Alemania,2023,87,319,7,Drama
Alex Borstein: Corsets & Clown Suits,2023,81,758,6.8,Comedy
Alexander,2023,80,140,7.3,Documentary
Algea: God of Pain,2023,99,257,4.8,Horror
Alguien que cuide de mí,2023,97,208,5.6,Comedy
Alhamour H.A.,2023,120,1995,7.1,Biography
Ali Topan,2023,115,259,5.7,Adventure
Alibi.com 2,2023,88,3349,6.5,Comedy
Alice and the Vampire Queen,2023,90,451,7.4,Horror
Alice in Terrorland,2023,77,1522,2.7,Horror
Alice the Musical,2023,97,10709,6.9,Fantasy
Alien Apocalypse,2023,87,190,3.2,Action
Alien Intervention,2023,103,256,5.7,Sci-Fi
Alien Invasion,2023,73,577,1.9,Horror
Alien Planet,2023,82,965,3.7,Sci-Fi
Aliens Abducted My Parents and Now I Feel Kinda Left Out,2023,87,611,5.7,Adventure
Aliens the Awakening,2023,108,284,7.5,Action
Alimañas,2023,84,537,4.9,Comedy
Alive,2023,97,123,3.9,Horror
All Because of the Cat,2023,99,211,5.8,Comedy
All Dirt Roads Taste of Salt,2023,92,1233,5.9,Drama
All Ears,2023,119,247,6.5,Drama
All Fun and Games,2023,76,3642,4.3,Horror
All Hallows Eve Trickster,2023,75,251,4.1,Horror
All Happy Families,2023,90,156,5.9,Comedy
All Inclusive,2023,115,719,5.7,Comedy
All India Rank,2023,97,1822,6,Comedy
All Souls,2023,81,661,4.9,Action
All That Sex,2023,101,285,4.5,Comedy
All These Years,2023,116,219,6.5,Drama
All Up in the Biz,2023,100,357,7.5,Documentary
All You Need Is Blood,2023,100,303,5.3,Comedy
All You Need Is Death,2023,96,860,5.3,Horror
All Your Faces,2023,118,4166,7.5,Drama
All of Us Strangers,2023,105,68705,7.6,Drama
All the Colours of the World Are Between Black and White,2023,93,226,6.3,Drama
All the Fires,2023,96,141,6.5,Drama
All the Names of God,2023,105,1895,5.8,Action
All the Places,2023,97,422,5.6,Adventure
All the Silence,2023,82,237,7,Drama
All to Play For,2023,112,725,6.5,Drama
All-Time High,2023,101,2087,5.8,Comedy
Allan Quatermain and the Spear of Destiny,2023,61,168,3.2,Adventure
Aller/Retour,2023,84,132,5.9,Comedy
Almost Entirely a Slight Disaster,2023,88,527,5.9,Comedy
Alone,2023,122,1065,3.4,Thriller
Along Came Love,2023,125,776,6.5,Drama
Altered Perceptions,2023,120,184,3.4,Horror
Alya,2023,115,158,8.9,Action
Am I Next,2023,85,380,5.3,Crime
Ama Gloria,2023,83,793,7,Drama
Amadeo,2023,98,135,5.7,Biography
Amal,2023,107,407,7.5,Drama
Amanece,2023,90,203,4.4,Drama
Amber: The Girl Behind the Alert,2023,92,615,7.2,Crime
Ambuja,2023,120,548,8.7,Drama
Ambush,2023,104,1906,4,Action
Amelia's Children,2023,91,2009,5.2,Horror
America Is Sinking,2023,83,272,2.6,Action
American Cherry,2023,90,174,4.8,Drama
American Fiction,2023,117,107929,7.5,Comedy
American Girl: Corinne Tan,2023,61,125,7.5,Drama
American Maroon,2023,173,120,6.4,Documentary
American Meltdown,2023,82,317,5.2,Comedy
American Nightmare: Becoming Cody Rhodes,2023,120,518,7.8,Documentary
American Outlaws,2023,99,378,4.7,Crime
American Symphony,2023,104,4212,6.8,Biography
Americana,2023,110,186,6.5,Action
Americonned,2023,96,166,6.5,Documentary
Amigos,2023,139,3113,6,Action
Amigos hasta la muerte,2023,97,278,4.7,Comedy
Amityville Frankenstein,2023,62,909,4.5,Comedy
Amityville Ripper,2023,78,141,3.1,Comedy
Among Wolves,2023,80,244,5.4,Western
Among the Beasts,2023,93,313,5.2,Action
Amy Schumer: Emergency Contact,2023,51,1844,5.3,Comedy
Amy's F**k It List,2023,78,282,4.3,Comedy
An Angry Boy,2023,100,538,4.6,Thriller
An Egypt Affair,2023,82,2952,6.8,Adventure
An Endless Sunday,2023,115,206,5.8,Drama
An Unforgettable Year - Winter,2023,101,151,5,Drama
An Unforgettable Year: Autumn,2023,102,262,5,Drama
An Unforgettable Year: Spring,2023,79,120,5.5,Romance
An Unforgettable Year: Summer,2023,101,247,5.3,Romance
Anakku Enthinte Keda,2023,129,437,7.4,Drama
Analog,2023,120,179,6.6,Drama
Anantha,2023,78,1115,6.8,Adventure
Anatar,2023,88,165,2.1,Comedy
Anatomy of a Fall,2023,151,168862,7.6,Crime
Anavarana,2023,135,116,8.2,Drama
Anchorage,2023,79,267,5.2,Drama
"And Yet, You Are So Sweet",2023,98,156,6.1,Romance
And the Party Goes On,2023,106,432,6.2,Comedy
Andragogy,2023,110,1209,8,Drama
Andrea's Love,2023,101,131,6.2,Adventure
Andrew Santino: Cheeseburger,2023,58,1453,6.5,Comedy
Andy Somebody,2023,83,118,4.3,Comedy
Aneethi,2023,143,1199,6.6,Action
Ang mga kaibigan ni Mama Susan,2023,113,160,5.1,Horror
Angel Baby,2023,105,266,3.7,Horror
Angela,2023,104,675,5.4,Biography
Angithee 2,2023,79,153,5.9,Drama
Angle,2023,108,303,8,Documentary
Animal,2023,116,782,6.5,Drama
Animalia,2023,90,946,5.9,Drama
Anna Nicole Smith: You Don't Know Me,2023,116,3596,6.4,Biography
Anna's Feelings,2023,130,214,6,Drama
Annapoorani,2023,146,6357,3.8,Drama
Annapurna Photo Studio,2023,128,1088,6.9,Thriller
Annhi Dea Mazaak Ae,2023,151,376,5.7,Comedy
Anni Manchi Sakunamule,2023,154,646,6.1,Drama
Another Body,2023,80,466,6.4,Documentary
Another Happy Day,2023,91,110,5,Comedy
Another Lottery Ticket,2023,86,833,6.7,Comedy
Anselm,2023,93,1994,7.2,Documentary
Ant-Man and the Wasp: Quantumania,2023,124,246157,6,Action
Antarjal,2023,155,468,5.8,Action
Anthem,2023,97,162,4,Documentary
Anti-Squat,2023,95,251,5.6,Drama
Antigang: La Relève,2023,90,859,5.4,Action
Antony,2023,147,1335,6.3,Action
Anuragam,2023,141,842,6.6,Drama
Anveshi,2023,137,2171,6.3,Romance
Anwar: The Untold Story,2023,108,501,4.8,Biography
Anxiety,2023,96,179,6.1,Drama
Any How Mitti Pao,2023,143,142,5.7,Comedy
Anyone But You,2023,103,138171,6.1,Comedy
Apaches,2023,93,802,5.3,Action
Ape Principal,2023,106,117,6.9,Drama
Ape vs. Mecha Ape,2023,84,472,2.7,Action
Apocalypse Clown,2023,102,899,5.4,Comedy
Aporia,2023,104,2315,5.6,Drama
Appatha,2023,116,222,7.3,Drama
Appendage,2023,94,4364,5.2,Drama
Apurva,2023,95,2536,6.2,Drama
Aquaman and the Lost Kingdom,2023,124,103726,5.6,Action
Aramudaitha Kombu,2023,127,102,9.6,Drama
Arangetram,2023,127,551,8.3,Drama
Arctic Armageddon,2023,86,242,3,Adventure
Ardhambardha Premakathe,2023,136,350,8.7,Comedy
Ardhangini,2023,135,357,7.2,Drama
Are You,2023,96,3211,5.7,Comedy
Are You Ok Baby?,2023,113,1277,6.6,Crime
"Are You There God? It's Me, Margaret.",2023,106,32724,7.3,Comedy
Arranged Love,2023,84,257,6,Comedy
Arsenie. An Amazing Afterlife,2023,96,143,6.8,Documentary
Art College 1994,2023,118,160,6.3,Animation
Arte Povera: The Documentary,2023,90,246,8,Documentary
Artem & Eva,2023,97,101,6.9,Documentary
Article 21,2023,127,442,8.8,Drama
As Certain as Death,2023,79,203,2.8,Horror
As Gyvas,2023,111,119,5.7,Comedy
As We Know It,2023,84,225,4.4,Comedy
Ashtadigbandhanam,2023,135,2080,6.9,Action
Askin Saati: 19:03,2023,95,176,3.9,Comedy
Asleep in My Palm,2023,88,156,6.2,Drama
Asphalt,2023,82,178,5.3,Drama
Asphalt City,2023,125,7073,6.1,Drama
Assassin,2023,88,1656,3.3,Action
Assassin Club,2023,111,3712,4.7,Action
Assault on Hill 400,2023,87,281,2.4,War
Assistant,2023,104,226,4.8,Drama
Asterix & Obelix: The Middle Kingdom,2023,112,11730,5.1,Adventure
Asteroid City,2023,105,128033,6.5,Comedy
Asthra,2023,115,149,3.7,Action
Asvins,2023,111,1027,4.8,Horror
At Midnight,2023,100,1649,5.6,Comedy
Atatürk: 1881-1919,2023,132,1927,8.8,Biography
Atharva,2023,116,8795,6.7,Crime
Attack of the Doc!,2023,87,313,7.2,Documentary
Attack of the Meth Gator,2023,89,629,3.4,Horror
Attack on Titan: The Weight of Pain,2023,155,565,7.6,Action
Até Que a Vida Nos Separe: Uma Biografia de Nelson Carneiro,2023,70,106,8.3,Documentary
August 16 1947,2023,144,1219,6.7,Action
Auhaam,2023,142,976,5.8,Mystery
Aunt Virginia,2023,98,204,7.3,Comedy
Autumn,2023,114,153,7.6,Comedy
Aval Peyar Rajni,2023,121,221,5.6,Crime
Avenue of the Giants,2023,102,119,8.4,Drama
Awareness,2023,112,3228,5.3,Mystery
Axegrinder 666,2023,80,125,3,Horror
Ayalvaashi,2023,107,799,5.7,Comedy
